State,ST,Fips,County,Precincts,Votes,Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White  Asian,Sire Homogeneity,Median Age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness,elevation,Annual Prcp,Winter Prcp,Summer Prcp,Spring Prcp,Autumn Prcp,Annual Tavg,Annual Tmax,Annual Tmin,Winter Tavg,Winter Tmax,Winter Tmin,Summer Tavg,Summer Tmax,Summer Tmin,Spring Tavg,Spring Tmax,Spring Tmin,Autumn Tavg,Autumn Tmax,Autumn Tmin,Nearest County,temp,precip,Temp Bins,Lat Bins,Lon Bins,Precip Bins,Elevation Bins,Geo Shape,Name 16,reporting,Votes16 Trumpd,Votes16 Clintonh,Votes16 Johnsong,Votes16 Steinj,Votes16 Castled,Votes16 De La Fuenter,Est Votes Remaining,Votes16 Mcmulline,Votes16 Hedgesj,Votes16 Kahnl,Votes16 La Rivag,Votes16 Hoeflingt,Votes16 Kenistonc,Votes16 Smithm,Votes16 Atwoodf,Votes16 Kennedya,Votes16 Kopitkek,Votes16 Kotlikoffl,Votes16 Lyttleb,Votes16 Maldonadoj,Votes16 Maturenm,Votes16 Scottr,Votes16 Silvar,Votes16 Soltysike,Votes16 Vacekd,Votes16 Copelands,Votes16 Jacobp,Votes16 Whitej,Votes16 Mooreheadm,Votes16 None Of These Candidates,Votes16 Duncanr,Votes16 Skewesp,Votes16 Giordanir,total16,Other16 Frac,Rep16 Frac2,Dem16 Frac2,Name Prev,Statecode Prev,total08,total12,other08,other12,Other12 Frac,Other08 Frac,Rep12 Frac2,Rep08 Frac2,Dem12 Frac2,Dem08 Frac2
Michigan,MI,26013,"Baraga County, Michigan",8,3486,1725,1574,1846,1866,61.9047619,33.16121629,1.40562249,3.040734366,53.46704871,50.6586169,45.10028653,47.33809001,17.8,82.2,11.4,3.1,74.85,26016.80191,74.8,7.25,12.95,0.25,3.6,1.2,35.95,9.4,8755,64.1,12.15,0.409,19.45,32.3,24.05,18.2,3.05,8.2,14.2,74.8,7.25,1.2,0.25,12.95,3.6,75.05,0.58297675,42.3,-88.3560221,46.6960684,,,0.06,35.5,0.369,0.239,0.32,0.12,79.5,,0.166,0.164,323.29,,58.5,,-0.42591666,-0.423429544,0.857101007,7.16722E-05,7.16722E-05,8.07392E-05,0.000842244,0.063643373,466.1,3303.75,510.25,1065.25,729.5,998.75,,,,,,,,,,,,,,,,26013,,839.1525,,,"(-90.4,-87.2]","(818,932]","(396,572]","{""type"": ""Polygon"", ""coordinates"": [[[-88.4511999999, 46.9389760004], [-88.249985, 46.991602], [-88.2213519998, 46.9999249998], [-88.0437309998, 47.0439579998], [-88.0445729999, 46.8382309996], [-88.0451119996, 46.8344689996], [-88.0447089999, 46.7653530004], [-87.9913889998, 46.7651589996], [-87.9915459998, 46.6791130003], [-88.1158429996, 46.6783809998], [-88.1165059996, 46.650401], [-88.1165709999, 46.419951], [-88.679392, 46.4201389997], [-88.6784269996, 46.7226529999], [-88.6760719998, 46.7300559996], [-88.6762570003, 46.7647889996], [-88.6791559999, 46.7649780002], [-88.6789830001, 46.8518220004], [-88.5519429998, 46.851795], [-88.5521850001, 46.9385329998], [-88.4511999999, 46.9389760004]]]}",Baraga,8,2158,1156,106,49,15,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,3486,0.030407344,0.651176826,0.348823174,Baraga,26,3644,3490,73,50,0.014326648,0.020032931,0.54244186,0.516942033,0.45755814,0.483057967
Michigan,MI,26115,"Monroe County, Michigan",64,74101,39180,36310,35858,35593,58.3730314,36.24647441,0.954103183,4.028285718,48.85591534,46.92104368,49.84008895,51.26795949,12.3,87.7,17,5.9,77.65,31346.34572,92.7,2.1,0.3,0.6,1.55,2.9,15,6.15,152460,37.2,8.85,0.396,11.95,26.85,17.15,24.85,0.35,10.6,20.3,92.7,2.1,2.9,0.6,0.3,1.55,93.3,0.86089625,39.2,-83.4871059,41.916097,3.6,3.9,0.07,27.3,0.276,0.199,0.334,0.109,232.9,47.2,0.101,0.08,247.2,1.87,55.4,6.4,-0.024915364,0.390319029,0.514195689,-1.02335E-07,1.02335E-07,0.000102534,0.000334088,-0.687845159,189.16,,,,,,491.8,589.2,394.4,267.4,344.2,190.8,706.8,815,599,471.8,574,369.2,518.2,620.2,415.8,26115,9.544444444,,"9.33, 10.7",,"(-84.5,-82.1]",,"(167,216]","{""type"": ""Polygon"", ""coordinates"": [[[-83.7702629998, 41.9225579998], [-83.7739220004, 42.0824299996], [-83.6574120001, 42.0845840001], [-83.6465530002, 42.0838900004], [-83.5787909996, 42.0848770001], [-83.420622, 42.0877769998], [-83.4207610001, 42.0935679998], [-83.2948139999, 42.0943780002], [-83.2938060001, 42.0927469997], [-83.2898159996, 42.0916779998], [-83.2885210001, 42.0898249998], [-83.2872069998, 42.0894610001], [-83.2873269999, 42.0908539996], [-83.286704, 42.0914170004], [-83.2858629999, 42.0908890003], [-83.2856889999, 42.0894749999], [-83.2872350002, 42.0882439998], [-83.2851409999, 42.0877490003], [-83.2840410004, 42.088835], [-83.2849780004, 42.089731], [-83.2831649996, 42.0894709997], [-83.282179, 42.0870270003], [-83.2830169999, 42.0858180003], [-83.2801839997, 42.0858459998], [-83.2802029997, 42.0849119999], [-83.2822739998, 42.0839290004], [-83.281341, 42.0833839996], [-83.2795599997, 42.0840879997], [-83.2769869998, 42.082419], [-83.2773939996, 42.0818039996], [-83.2802079999, 42.0817220003], [-83.279917, 42.0802829996], [-83.2779839999, 42.0793420002], [-83.2748330002, 42.0803459998], [-83.2766319996, 42.0785279996], [-83.2769940001, 42.0763279997], [-83.2732950004, 42.0749770004], [-83.2712, 42.0761870004], [-83.2692190004, 42.0754230003], [-83.2685310001, 42.0742419998], [-83.2694759996, 42.071342], [-83.2673719997, 42.069099], [-83.265039, 42.0691699997], [-83.2624769997, 42.0730250003], [-83.2607350003, 42.073195], [-83.2599110001, 42.0742839999], [-83.257978, 42.0739760001], [-83.2553880002, 42.0709950002], [-83.2545019998, 42.0682110004], [-83.2514789998, 42.0679459999], [-83.2547280003, 42.0642999999], [-83.2502220002, 42.0639320001], [-83.248618, 42.060713], [-83.2436749996, 42.061923], [-83.2411710001, 42.0600980004], [-83.2382520004, 42.0598610003], [-83.2366149996, 42.0582410002], [-83.2342860001, 42.0592879999], [-83.2332479999, 42.0584990004], [-83.2320820001, 42.0553340002], [-83.2288110003, 42.0545659998], [-83.2302540003, 42.0487339998], [-83.2258640002, 42.0491550003], [-83.2228410002, 42.0484619998], [-83.2196739999, 42.0491199996], [-83.2168459998, 42.0440899997], [-83.2095190001, 42.0402699998], [-83.2015440002, 42.0393149998], [-83.2003150001, 42.0380030004], [-83.1997560004, 42.0352409999], [-83.1973429998, 42.0341010004], [-83.1943179997, 42.032864], [-83.1903170004, 42.0324570001], [-83.1845760001, 42.0285059996], [-83.1439560002, 42.02793], [-83.1124600001, 41.9594100004], [-83.1249230002, 41.9512180003], [-83.2499280002, 41.8578749999], [-83.3050069996, 41.8152789997], [-83.3752179998, 41.7648410003], [-83.4158510003, 41.7337940003], [-83.6854440004, 41.7266219996], [-83.7631500001, 41.7235459998], [-83.76741699990001, 41.8209569999], [-83.7702629998, 41.9225579998]]]}",Monroe,64,43255,26859,2985,707,273,,0,,,,,,,,,,,,,,,,,22,,,,,,,,,,74101,0.040282857,0.616923867,0.383076133,Monroe,26,76422,72853,1384,950,0.013039957,0.018109968,0.495014116,0.477864549,0.504985884,0.522135451
Michigan,MI,26059,"Hillsdale County, Michigan",26,19880,8765,7106,11221,11727,70.89537223,24.13983903,0.92555332,3.521126761,61.39790576,54.87309893,37.20418848,42.86273167,13.4,86.6,14.2,6.1,77.75,23810.23238,96.05,0.55,0.3,0.45,1.1,1.6,31.15,7.2,46494,38,15.45,0.404,23.95,24.9,15.85,21.25,1.5,11,25.5,96.05,0.55,1.6,0.45,0.3,1.1,96.5,0.92299675,39.7,-84.6424093,41.8644753,3.3,3.6,0.06,31.4,0.271,0.239,0.303,0.122,150.5,20.1,0.144,0.095,196.68,,59.9,6.9,-0.333596475,-0.038729774,0.648824045,3.08848E-05,3.08848E-05,4.94792E-05,0.000163863,-0.479813083,329.2,3796,669,1151,977,999,475,576,373,248,329,168,688,801,576,460,569,352,498,601,394,26059,8.611111111,964.184,"8.12, 9.33",,"(-87.2,-84.5]","(932,1.03e+03]","(317,396]","{""type"": ""Polygon"", ""coordinates"": [[[-84.8260900003, 41.9856720001], [-84.8264909999, 42.0724679998], [-84.7092570003, 42.0703369996], [-84.3632970003, 42.0734560004], [-84.3604159996, 41.7065890003], [-84.7183909997, 41.6989709997], [-84.8059959999, 41.6961180003], [-84.80588500019999, 41.7601709999], [-84.82513, 41.7599990001], [-84.8250689999, 41.8979109999], [-84.8260900003, 41.9856720001]]]}",Hillsdale,26,14094,4799,700,184,98,,0,,,,,,,,,,,,,,,,,5,,,,,,,,,,19880,0.035211268,0.745990579,0.254009421,Hillsdale,26,20449,19100,463,267,0.013979058,0.022641694,0.622683587,0.56144301,0.377316413,0.43855699
Michigan,MI,26125,"Oakland County, Michigan",520,663255,372566,349002,276956,296514,43.59213274,51.7110312,0.964485756,3.489306526,45.50503601,42.02237098,53.56019809,56.52922005,7.8,92.2,42.2,17.6,83.3,37899.85873,76.5,12.6,0.2,5.5,1.85,3.3,12.75,7.35,1202825,58.3,8.45,0.458,11.05,45.65,14,25.5,0.1,5.65,9.15,76.5,12.6,3.3,5.5,0.2,1.85,82,0.60556125,39.5,-83.3842103,42.6604518,3.1,3.4,0.08,17.6,0.253,0.148,0.269,0.091,304.9,159,0.114,0.091,246.38,3.85,43.1,6.5,0.754544475,0.903092094,0.798985347,-6.71254E-05,6.71254E-05,0.000243385,0.000551633,0.332821864,276.12,3246,572.4,950.2,825,898.4,,,,,,,,,,,,,,,,26125,,824.484,,,"(-84.5,-82.1]","(818,932]","(259,317]","{""type"": ""Polygon"", ""coordinates"": [[[-83.6772730004, 42.6062649997], [-83.6831220004, 42.6959909997], [-83.6893839996, 42.8712630002], [-83.4534019999, 42.8761630004], [-83.4533639999, 42.8804320003], [-83.3010359999, 42.8834890001], [-83.1028910004, 42.8886469997], [-83.0983539998, 42.776286], [-83.0960319998, 42.7414729999], [-83.0939619996, 42.6737090001], [-83.0881569999, 42.5493789997], [-83.0868819996, 42.5347919998], [-83.0833929997, 42.4471529998], [-83.196587, 42.4450459998], [-83.4216450004, 42.4393279996], [-83.6648080003, 42.4311789997], [-83.6772730004, 42.6062649997]]]}",Oakland,520,289127,342976,23143,6397,1400,,0,,,,,,,,,,,,,,,,,212,,,,,,,,,,663255,0.034893065,0.457404885,0.542595115,Oakland,26,659068,651607,9546,6091,0.009347659,0.01448409,0.459344153,0.426399722,0.540655847,0.573600278
Michigan,MI,26149,"St. Joseph County, Michigan",24,23765,12322,10112,12886,12978,62.63833368,31.68104355,1.220281927,3.934357248,55.60173086,50.13617617,43.32290819,47.94179441,15.8,84.2,14,4.8,72,27216.11683,88.35,2.4,0.4,0.65,1.6,6.55,26.45,11.25,61757,30.5,14.95,0.405,21.65,22.2,14.25,20.9,1.45,8.3,32.95,88.35,2.4,6.55,0.65,0.4,1.6,89,0.78575275,38,-85.5228703,41.9114878,3.4,3,0.07,46.7,0.286,0.222,0.33,0.099,251.9,60.7,0.152,0.084,295.04,,64.7,8.4,-0.352708843,-0.251337667,0.517359971,2.13775E-05,2.13775E-05,2.5739E-05,0.000200277,-0.750810355,246.9,3856,651,1198,973,1034,491,594,388,266,346,187,704,819,590,477,589,366,513,620,406,26149,9.5,979.424,"9.33, 10.7",,"(-87.2,-84.5]","(932,1.03e+03]","(216,259]","{""type"": ""Polygon"", ""coordinates"": [[[-85.7601170001, 41.8966150004], [-85.762943, 42.0693269997], [-85.2936260004, 42.0715529999], [-85.2921879998, 41.8752829996], [-85.2921790003, 41.7598890004], [-85.7913349999, 41.7590779998], [-85.7918369997, 41.759979], [-85.7905250003, 41.7612389997], [-85.78576, 41.7593309998], [-85.7843659996, 41.7602089998], [-85.7858879996, 41.7634000004], [-85.7903739997, 41.7659239999], [-85.7874970001, 41.7681419997], [-85.7873329997, 41.77088], [-85.7859230003, 41.7729789997], [-85.7866679996, 41.775774], [-85.786168, 41.7769389997], [-85.7766869998, 41.7807219997], [-85.7694200001, 41.7846720002], [-85.7663440004, 41.7915089998], [-85.7626000004, 41.7931540002], [-85.7633590003, 41.7964870001], [-85.7601859997, 41.7988140004], [-85.7601170001, 41.8966150004]]]}",St. Joseph,24,14886,7529,935,290,113,,0,,,,,,,,,,,,,,,,,12,,,,,,,,,,23765,0.039343572,0.664108856,0.335891144,St. Joseph,26,25702,23341,494,251,0.01075361,0.019220294,0.562061498,0.511186925,0.437938502,0.488813075
Michigan,MI,26049,"Genesee County, Michigan",219,196135,143927,128978,72451,71808,42.91635863,52.38432712,1.118107426,3.171794937,35.38507783,32.94784807,63.55693751,65.45230473,11.9,88.1,19,6.7,79.15,27004.46191,73.65,19.85,0.45,0.95,2.25,2.75,30.6,6.8,429255,41.7,17.7,0.439,26.85,29.65,19.75,25.2,0.2,8.3,16.85,73.65,19.85,2.75,0.95,0.45,2.25,74.6,0.5832075,37.6,-83.7063718,43.0210768,4.3,4.2,0.1,44.8,0.416,0.231,0.36,0.125,751.3,137,0.121,0.095,808.66,11.93,66.8,10.6,-0.369292093,-0.898729615,0.824640396,4.90436E-05,4.90436E-05,9.9624E-05,0.000401085,-0.048697246,242.56,,,,,,472.4,573.4,371.6,248,325,170.6,686.6,802,571.2,453.4,563.2,344,497.6,599.2,396.2,26049,8.466666667,,"8.12, 9.33",,"(-84.5,-82.1]",,"(216,259]","{""type"": ""Polygon"", ""coordinates"": [[[-83.5815150002, 43.2227620003], [-83.4607329998, 43.2231310002], [-83.4588270001, 43.0368730003], [-83.4565870002, 42.9559279997], [-83.4532969996, 42.8762990004], [-83.5715359996, 42.8732649999], [-83.6893839996, 42.8712630002], [-83.6864930003, 42.7832629998], [-83.8054180004, 42.7811379998], [-83.8839749997, 42.7816900001], [-83.922516, 42.7808209996], [-83.9271640003, 42.8683439996], [-83.929867, 42.949791], [-83.9299110002, 42.956511999599996], [-83.9288370001, 42.9565480004], [-83.9283680001, 43.0538449996], [-83.9290789996, 43.1327820003], [-83.932071, 43.220377], [-83.6965160002, 43.2213960002], [-83.5815150002, 43.2227620003]]]}",Genesee,219,84174,102744,6221,2193,703,,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,196135,0.031717949,0.450325811,0.549674189,Genesee,26,219896,202933,3518,2147,0.010579847,0.015998472,0.357634496,0.334835334,0.642365504,0.665164666
Michigan,MI,26015,"Barry County, Michigan",27,30265,13449,11491,16431,16655,63.42970428,30.09747233,1.14323476,4.705104907,58.41400112,53.75756584,40.30232884,44.00130869,9.5,90.5,16.6,6.2,78.7,29950.24635,95.6,0.35,0.35,0.4,1.25,2.1,16.5,4.95,58994,36.4,8.7,0.392,11.85,25,15.7,24,1.5,12.15,21.7,95.6,0.35,2.1,0.4,0.35,1.25,96,0.91457375,39.9,-85.3145503,42.5828109,3.4,3.2,0.06,29.9,0.212,0.211,0.37,0.097,178.5,44.1,0.123,0.063,175.22,,59.7,5.3,0.44469857,0.57461637,0.499005234,-6.72955E-06,6.72955E-06,0.000165371,0.000928797,-0.532598985,249.9,3742,642,1110,951,1039,472,574,370,251,328,175,684,799,569,454,566,342,495,599,392,26015,8.444444444,950.468,"8.12, 9.33",,"(-87.2,-84.5]","(932,1.03e+03]","(216,259]","{""type"": ""Polygon"", ""coordinates"": [[[-85.3096259999, 42.7698780004], [-85.2123800003, 42.7696529999], [-85.0742450001, 42.7707839999], [-85.0755819997, 42.6835889997], [-85.0752190001, 42.6138600001], [-85.073813, 42.509173], [-85.071609, 42.4214279997], [-85.3515780001, 42.4197220002], [-85.5431909997, 42.4214329999], [-85.5432390001, 42.5909050001], [-85.5451069999, 42.6814279999], [-85.5455640003, 42.7681390002], [-85.3096259999, 42.7698780004]]]}",Barry,27,19197,9109,1424,346,179,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,,30265,0.047051049,0.678195436,0.321804564,Barry,26,30565,28512,685,366,0.0128367,0.022411255,0.591735948,0.549899598,0.408264052,0.450100402
Michigan,MI,26079,"Kalkaska County, Michigan",13,8920,3780,3272,4527,4901,69.65246637,25.54932735,1.322869955,3.17264574,59.05530787,53.26509001,39.42643692,44.47582068,15.2,84.8,11.6,4.2,70.7,21016.30762,95.95,0.35,0.65,0.3,1.45,1.2,23.2,7.3,17129,36.1,16.8,0.399,27,20.75,23.2,23.05,1.3,12.3,19.35,95.95,0.35,1.2,0.3,0.65,1.45,96.25,0.921058,42.5,-85.0889915,44.6788808,4.5,4.4,0.08,44.6,0.303,0.363,0.304,0.12,256.4,32.1,0.16,0.096,308.68,,74.7,,-0.974751297,-0.551573146,0.738317384,5.03053E-05,5.03053E-05,4.82586E-05,0.00044482,-0.269900963,321.4666667,3434.666667,634.6666667,1004.666667,760,1035.333333,431.3333333,537.6666667,325.3333333,203.3333333,286.3333333,121,648.6666667,772,525.6666667,410,527.6666667,292.3333333,459.3333333,560,359.3333333,26079,6.185185185,872.4053333,"-10.1, 6.44",,"(-87.2,-84.5]","(818,932]","(317,396]","{""type"": ""Polygon"", ""coordinates"": [[[-85.3329089999, 44.7727150004], [-85.3326339998, 44.8130489997], [-85.3246470002, 44.8186089998], [-85.3225200001, 44.8193980002], [-85.318091, 44.8194750002], [-85.3163879997, 44.822454], [-85.3165479999, 44.8235140003], [-85.3201499996, 44.8260029999], [-85.3210859996, 44.8275520003], [-85.319866, 44.8336350003], [-85.3217139998, 44.841274], [-85.322889, 44.8433630001], [-85.3228869999, 44.8455999998], [-85.3243930001, 44.8471609999], [-85.3271810001, 44.8481549999], [-85.3276959996, 44.8507069997], [-85.3096789997, 44.8543129996], [-85.2917159996, 44.8596080001], [-85.113169, 44.8586740002], [-84.9486930001, 44.8589250001], [-84.8473090003, 44.8580369996], [-84.8473529996, 44.7712229999], [-84.8490080004, 44.7317499999], [-84.8497260003, 44.6851660001], [-84.8497509996, 44.5968810001], [-84.850929, 44.5110689998], [-85.0929470001, 44.5104609997], [-85.334, 44.5123030001], [-85.3328610003, 44.603726000099996], [-85.3334280004, 44.6851260001], [-85.3329089999, 44.7727150004]]]}",Kalkaska,13,6213,2279,283,118,24,,0,,,,,,,,,,,,,,,,,3,,,,,,,,,,8920,0.031726457,0.731629769,0.268370231,Kalkaska,26,8499,8299,192,126,0.015182552,0.022590893,0.599657409,0.54496208,0.400342591,0.45503792
Michigan,MI,26133,"Osceola County, Michigan",18,10597,4855,3981,5973,6141,69.22713976,25.52609229,0.905916769,3.784089837,59.7489784,54.17195719,38.73321658,44.03228732,14.8,85.2,11.9,3.9,75,23380.82699,95.7,0.45,0.45,0.15,1.8,1.4,27.7,11,23298,39.5,18.45,0.394,26.5,23.6,17.85,19.25,1.8,10.2,27.35,95.7,0.45,1.4,0.15,0.45,1.8,95.85,0.91641175,41.2,-85.3222825,43.9975523,4.2,2.8,0.06,38.4,0.323,0.211,0.339,0.114,251,,0.145,0.102,290.66,,54,,-0.483856289,-0.312439616,0.638291365,3.85003E-05,3.85003E-05,3.4115E-05,0.000131077,-0.490073461,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-87.2,-84.5]",,,"{""type"": ""Polygon"", ""coordinates"": [[[-85.5635369999, 44.0746559996], [-85.5640409998, 44.1174920001], [-85.5651050003, 44.1313790001], [-85.5644250004, 44.1331269998], [-85.5645540001, 44.1648929997], [-85.3347769997, 44.1651180002], [-85.0870400002, 44.1642390001], [-85.0884769999, 43.9290959996], [-85.0878279997, 43.8570769996], [-85.088811, 43.813676], [-85.5624389997, 43.8156340004], [-85.5623279999, 43.9163659998], [-85.5635369999, 44.0746559996]]]}",Osceola,18,7336,2705,401,96,52,,0,,,,,,,,,,,,,,,,,7,,,,,,,,,,10597,0.037840898,0.730604521,0.269395479,Osceola,26,11026,10278,198,156,0.01517805,0.017957555,0.606698281,0.551625416,0.393301719,0.448374584
Michigan,MI,26067,"Ionia County, Michigan",31,26364,12565,11018,14156,14315,62.10741921,31.12577758,1.084812623,5.075102412,55.56849501,51.81741645,42.7700788,45.99363081,13.3,86.7,13.1,3.8,74.55,26019.98159,89.2,4.4,0.3,0.3,1.95,3.85,25.95,9.3,63795,51.2,14.85,0.398,20.05,25,18,25.15,2.15,10.4,19.25,89.2,4.4,3.85,0.3,0.3,1.95,89.5,0.7994805,35.9,-85.073766,42.9446503,3.6,3.8,0.06,36.4,0.299,0.185,0.337,0.097,198.5,49.9,0.132,0.083,193.13,,60.6,4.8,0.253523466,0.091097288,0.560751074,2.29505E-05,2.29505E-05,5.57267E-05,0.000219157,-0.6191931,245.4,3558,583,1048,904,1023,471,565,377,245,314,176,687,795,579,455,558,353,492,588,396,26067,8.388888889,903.732,"8.12, 9.33",,"(-87.2,-84.5]","(818,932]","(216,259]","{""type"": ""Polygon"", ""coordinates"": [[[-85.1936000003, 43.119534], [-85.0750329996, 43.1202129998], [-84.836889, 43.118851], [-84.8376199996, 43.0326410003], [-84.8370850001, 42.7704790002], [-85.0742450001, 42.7707839999], [-85.2123800003, 42.7696529999], [-85.3096259999, 42.7698780004], [-85.3116299997, 42.8782179999], [-85.312513, 43.118793], [-85.1936000003, 43.119534]]]}",Ionia,31,16374,8206,1338,286,143,,0,,,,,,,,,,,,,,,,,17,,,,,,,,,,26364,0.050751024,0.666151343,0.333848657,Ionia,26,27319,25761,598,428,0.016614262,0.021889527,0.565073225,0.529770592,0.434926775,0.470229408
Michigan,MI,26003,"Alger County, Michigan",10,4513,2472,2212,2188,2330,57.27897186,36.84910259,1.484600044,3.922003102,50.45474231,46.06315789,47.8995236,52.04210526,13.8,86.2,16.9,4.5,73.65,23514.08095,86.1,7.1,3.15,0.35,2.1,1.2,25.1,9,9556,48.4,13,0.418,17.75,26.2,26.05,21.35,1.4,11,14,86.1,7.1,1.2,0.35,3.15,2.1,86.45,0.7479515,46.4,-86.5641076,47.0800765,1.6,,0.07,26.5,0.274,,0.326,0.109,94.6,,0.158,0.107,175.11,,79.1,,-0.391835122,0.023311143,0.632410553,4.54751E-05,4.54751E-05,8.16073E-05,0.000700449,-0.355682288,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-87.2,-84.5]",,,"{""type"": ""Polygon"", ""coordinates"": [[[-87.1163479997, 46.5066010002], [-87.1132770001, 46.6247230003], [-87.1122450002, 46.7499260004], [-87.1126950003, 47.8179979998], [-87.0631010002, 47.7999910004], [-87.0001110002, 47.7736040003], [-86.9406219998, 47.7499050001], [-86.949226, 47.7499050001], [-86.8751159998, 47.7218119996], [-86.7501200002, 47.6719600003], [-86.7501200002, 47.6749109996], [-86.6313209996, 47.6249200002], [-86.6343439996, 47.6249200002], [-86.6251249998, 47.6177670003], [-86.6251249998, 47.6200080003], [-86.5001300003, 47.5695229996], [-86.5001300003, 47.5683240001], [-86.3751339998, 47.5236720004], [-86.3127740001, 47.4999400004], [-86.305205, 47.4999409996], [-86.2501390003, 47.4779030004], [-86.2501390003, 47.4744480003], [-86.1251409998, 47.4234680001], [-86.1251419998, 47.4167440003], [-86.020032, 47.3749619999], [-86.027345, 47.3749609999], [-86.0001450002, 47.3618830002], [-86.0001440001, 47.3672789999], [-85.8751440004, 47.3162609998], [-85.8751440004, 47.3140230001], [-85.8548620004, 47.3054820001], [-85.8587269997, 47.2499759999], [-85.8546070003, 47.2499769999], [-85.8590540003, 46.9999829998], [-85.8605130002, 46.9999829998], [-85.8631959998, 46.7499869996], [-85.8647230001, 46.678951], [-85.8642699999, 46.60619], [-85.8649319998, 46.5047579998], [-86.3649529998, 46.5058519999], [-86.3652609996, 46.3319290004], [-86.615397, 46.3332629999], [-86.6156010004, 46.1586910002], [-86.865838, 46.1584610004], [-87.1160799999, 46.1589450002], [-87.1163479997, 46.5066010002]]]}",Alger,10,2585,1663,177,67,19,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,4513,0.039220031,0.608521657,0.391478343,Alger,26,4750,4618,90,76,0.016457341,0.018947368,0.512989872,0.469527897,0.487010128,0.530472103
Michigan,MI,26137,"Otsego County, Michigan",13,12529,5634,4681,6752,7011,65.97493814,28.3821534,1.300981722,3.847074787,59.13960354,53.51934052,39.48544918,44.65757768,10.8,89.2,19.4,6.4,73.95,22541.8308,96,0.15,0.35,0.4,1.95,1.1,23.35,7.35,24048,34.7,12.9,0.419,17.25,25.9,20.55,29.3,0.45,10.65,13.1,96,0.15,1.1,0.4,0.35,1.95,96.4,0.92213175,42.1,-84.5765966,45.0217942,4.1,4.1,0.07,31,0.241,0.241,0.317,0.114,103.8,52.8,0.14,0.109,174.84,,78.5,,0.397749402,0.043491367,0.679187281,3.5768E-05,3.5768E-05,7.67278E-05,0.00030793,-0.354690531,395.42,,,,,,425.2,523.6,326.8,194.4,270.4,118.6,644,759.6,528,405.4,516.4,294.6,453.2,543.2,363,26137,5.844444444,,"-10.1, 6.44",,"(-87.2,-84.5]",,"(317,396]","{""type"": ""Polygon"", ""coordinates"": [[[-84.8495239999, 45.0296329997], [-84.8573189997, 45.029757], [-84.8579520001, 45.0634780001], [-84.8574520004, 45.1167069996], [-84.8316850002, 45.1168489999], [-84.7347990001, 45.1149030001], [-84.7349639996, 45.1754879998], [-84.7343029997, 45.2019359999], [-84.3668270003, 45.1987620002], [-84.3667349996, 45.1466720001], [-84.3679509999, 45.0698829996], [-84.37156, 44.9509400004], [-84.3717570001, 44.8550290003], [-84.52652, 44.8573870002], [-84.6052910002, 44.8571399996], [-84.7462670001, 44.8583879996], [-84.8473090003, 44.8580369996], [-84.8486120001, 44.8984859997], [-84.848063, 44.9158920002], [-84.8497880004, 44.9912189999], [-84.8495239999, 45.0296329997]]]}",Otsego,13,8266,3556,482,163,56,,0,,,,,,,,,,,,,,,,,6,,,,,,,,,,12529,0.038470748,0.699204872,0.300795128,Otsego,26,12616,11855,230,163,0.013749473,0.018230818,0.59964078,0.5451316,0.40035922,0.4548684
